Price,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,Touchscreen,rating
68090,5,0,1,0,1,1,0,2,1,1,2,0,4
139990,5,0,1,0,1,1,0,2,1,1,0,0,1
55990,4,0,1,0,1,1,0,2,1,1,0,0,2
102551,4,0,1,0,1,1,0,2,1,1,2,0,1
46990,1,0,1,0,1,1,0,2,1,1,1,0,2
76012,4,0,1,4,1,0,3,1,0,0,0,0,2
49490,1,0,1,2,1,0,2,1,0,0,0,0,2
86867,2,0,1,3,1,4,2,1,0,0,0,0,2
48990,0,0,1,2,1,0,2,1,0,0,0,0,1
55990,5,0,1,2,1,0,2,1,0,0,0,0,1
81998,2,0,1,4,1,4,2,1,0,0,0,1,2
136590,4,0,1,4,1,0,2,1,0,0,0,1,1
59490,2,0,1,4,1,0,2,1,0,0,0,0,1
49800,0,0,1,2,1,0,2,1,0,0,0,0,1
61999,1,0,1,2,1,0,2,1,0,0,0,0,0
54990,4,0,1,2,1,0,1,1,0,0,0,0,2
53990,4,0,1,2,1,0,1,1,0,0,0,0,2
52990,1,0,1,2,1,0,1,1,0,0,0,0,2
67990,4,0,1,2,2,0,1,1,0,0,0,0,2
57990,0,0,1,0,1,0,1,1,0,0,2,0,2
62300,1,0,1,2,2,0,1,1,0,0,0,0,2
52990,1,0,1,2,1,0,1,1,0,0,0,0,1
51990,1,0,1,2,1,0,1,1,0,0,0,0,2
61990,1,0,1,2,2,0,1,1,0,0,0,0,2
63990,0,0,1,2,1,2,1,1,0,1,0,1,2
65990,1,0,1,2,1,0,1,1,0,0,0,0,2
52990,2,0,1,2,1,0,1,1,0,0,0,0,2
49990,1,0,1,0,1,0,1,1,0,0,0,0,1
71990,0,0,1,2,1,0,1,1,0,0,2,0,2
47990,0,0,1,0,1,0,1,1,0,0,0,0,2
48490,1,0,1,0,1,0,1,1,0,1,0,0,2
72990,0,0,1,2,1,0,1,1,0,0,2,0,2
76990,6,0,1,2,2,0,1,1,0,0,2,0,2
89990,0,0,1,2,2,0,1,1,0,0,3,0,2
59990,6,0,1,0,1,0,1,1,0,0,2,0,2
65990,0,0,1,0,1,0,1,1,0,0,2,0,2
71990,5,0,1,2,1,0,1,1,0,0,0,1,2
71890,5,0,1,2,1,0,1,1,0,0,0,1,2
64990,1,0,1,2,2,0,1,1,0,0,0,0,1
65990,0,0,1,2,2,0,1,1,0,0,0,0,1
55999,4,0,1,2,1,0,1,1,0,0,0,0,2
73490,0,0,1,2,2,0,1,1,0,0,2,0,2
74490,4,0,1,2,2,0,1,1,0,0,0,0,2
58340,4,0,1,2,1,0,1,1,0,0,0,0,2
55999,2,0,1,2,1,0,1,1,0,0,0,0,2
67990,5,0,1,2,2,0,1,1,0,0,0,0,2
59990,0,0,1,2,2,0,1,1,0,0,0,0,2
82990,0,0,1,2,2,0,1,1,0,0,3,0,2
64190,5,0,1,2,1,0,1,1,0,0,1,0,1
